Step,Env_step,MAP_NAME: smacv2_20_units - win_rate,MAP_NAME: smacv2_20_units - win_rate__MIN,MAP_NAME: smacv2_20_units - win_rate__MAX,MAP_NAME: smacv2_10_units - win_rate,MAP_NAME: smacv2_10_units - win_rate__MIN,MAP_NAME: smacv2_10_units - win_rate__MAX,MAP_NAME: smacv2_5_units - win_rate,MAP_NAME: smacv2_5_units - win_rate__MIN,MAP_NAME: smacv2_5_units - win_rate__MAX,MAP_NAME: 27m_vs_30m - win_rate,MAP_NAME: 27m_vs_30m - win_rate__MIN,MAP_NAME: 27m_vs_30m - win_rate__MAX,MAP_NAME: 10m_vs_11m - win_rate,MAP_NAME: 10m_vs_11m - win_rate__MIN,MAP_NAME: 10m_vs_11m - win_rate__MAX,MAP_NAME: 6h_vs_8z - win_rate,MAP_NAME: 6h_vs_8z - win_rate__MIN,MAP_NAME: 6h_vs_8z - win_rate__MAX,MAP_NAME: 5m_vs_6m - win_rate,MAP_NAME: 5m_vs_6m - win_rate__MIN,MAP_NAME: 5m_vs_6m - win_rate__MAX,MAP_NAME: 3s5z - win_rate,MAP_NAME: 3s5z - win_rate__MIN,MAP_NAME: 3s5z - win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - win_rate,MAP_NAME: 3s5z_vs_3s6z - win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - win_rate__MAX,MAP_NAME: 3s_vs_5z - win_rate,MAP_NAME: 3s_vs_5z - win_rate__MIN,MAP_NAME: 3s_vs_5z - win_rate__MAX,MAP_NAME: 2s3z - win_rate,MAP_NAME: 2s3z - win_rate__MIN,MAP_NAME: 2s3z - win_rate__MAX
0,0,0.0533333327621222,0,0.266666663810611,0,0,0,0.0490196095779538,0,0.245098047889769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16384,0.0457665883004665,0,0.228832941502333,0.0455580884590745,0,0.227790442295372,0.262904078699648,0,0.659340666607022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,32768,0.18551345448941,0,0.461893761530519,0,0,0,0.259880432859063,0,0.650759227573872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,49152,0.0942349107936025,0,0.237529701553285,0.0904214568436146,0,0.229885056614876,0.177693581208587,0,0.447427295148373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,65536,0.0430107535794377,0,0.215053767897189,0.0889931619167328,0,0.224215257912874,0.174835855141282,0,0.450450461357832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,81920,0,0,0,0.0460829492658377,0,0.230414746329188,0.456080711446703,0,1.40186911448836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,98304,0.0483091780915856,0,0.241545890457928,0.138163082301617,0,0.234192027710378,0.562922940589488,0,1.51843819767237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,114688,0,0,0,0.0452488707378507,0,0.226244353689253,0.993490666151047,0,2.98507455736399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,131072,0.142295346595347,0,0.238663493655622,0.18812948372215,0,0.707547180354595,0.600604438222945,0,1.65094342082739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,147456,0,0,0,0.23214228451252,0,0.699300691485405,1.70315505936742,0.193798448890448,3.57142873108387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,163840,0.0956943305209279,0,0.239808158949018,0.46896796207875,0,0.987654365599155,2.18167387880385,0.641025649383664,4.70588244497776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,180224,0.148514853790402,0,0.742574268952012,0.568708414211869,0,1.18483416736126,3.2400724478066,0.450450461357832,6.61938562989235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,196608,0.146706248633564,0,0.245700241066515,0.865780813619494,0.232558138668537,2.21674870699644,4.13015134632587,1.39211136847734,7.23192021250725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,212992,0.400085155852139,0,1.25313280150294,1.72773741185665,0.228832941502333,3.20987664163113,3.37985005229712,1.36986300349236,6.11764714121819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,229376,0.344556025229394,0,0.995024852454662,1.94231980945915,0.227790442295372,5.08905835449696,4.15669281035662,1.16009283810854,7.07070678472519,0,0,0,0,0,0,0.0396039616316557,0,0.198019808158278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,245760,0.352907590568066,0,1.01265823468566,2.39844138268381,0.228310492821038,4.66830469667912,4.61140301078558,1.90114062279463,7.08860754966736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
