Env_step,MAP_NAME: smacv2_20_units - _step,MAP_NAME: smacv2_20_units - _step__MIN,MAP_NAME: smacv2_20_units - _step__MAX,MAP_NAME: smacv2_20_units - win_rate,MAP_NAME: smacv2_20_units - win_rate__MIN,MAP_NAME: smacv2_20_units - win_rate__MAX,MAP_NAME: smacv2_10_units - _step,MAP_NAME: smacv2_10_units - _step__MIN,MAP_NAME: smacv2_10_units - _step__MAX,MAP_NAME: smacv2_10_units - win_rate,MAP_NAME: smacv2_10_units - win_rate__MIN,MAP_NAME: smacv2_10_units - win_rate__MAX,MAP_NAME: smacv2_5_units - _step,MAP_NAME: smacv2_5_units - _step__MIN,MAP_NAME: smacv2_5_units - _step__MAX,MAP_NAME: smacv2_5_units - win_rate,MAP_NAME: smacv2_5_units - win_rate__MIN,MAP_NAME: smacv2_5_units - win_rate__MAX,MAP_NAME: 27m_vs_30m - _step,MAP_NAME: 27m_vs_30m - _step__MIN,MAP_NAME: 27m_vs_30m - _step__MAX,MAP_NAME: 27m_vs_30m - win_rate,MAP_NAME: 27m_vs_30m - win_rate__MIN,MAP_NAME: 27m_vs_30m - win_rate__MAX,MAP_NAME: 10m_vs_11m - _step,MAP_NAME: 10m_vs_11m - _step__MIN,MAP_NAME: 10m_vs_11m - _step__MAX,MAP_NAME: 10m_vs_11m - win_rate,MAP_NAME: 10m_vs_11m - win_rate__MIN,MAP_NAME: 10m_vs_11m - win_rate__MAX,MAP_NAME: 6h_vs_8z - _step,MAP_NAME: 6h_vs_8z - _step__MIN,MAP_NAME: 6h_vs_8z - _step__MAX,MAP_NAME: 6h_vs_8z - win_rate,MAP_NAME: 6h_vs_8z - win_rate__MIN,MAP_NAME: 6h_vs_8z - win_rate__MAX,MAP_NAME: 5m_vs_6m - _step,MAP_NAME: 5m_vs_6m - _step__MIN,MAP_NAME: 5m_vs_6m - _step__MAX,MAP_NAME: 5m_vs_6m - win_rate,MAP_NAME: 5m_vs_6m - win_rate__MIN,MAP_NAME: 5m_vs_6m - win_rate__MAX,MAP_NAME: 3s5z - _step,MAP_NAME: 3s5z - _step__MIN,MAP_NAME: 3s5z - _step__MAX,MAP_NAME: 3s5z - win_rate,MAP_NAME: 3s5z - win_rate__MIN,MAP_NAME: 3s5z - win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - _step,MAP_NAME: 3s5z_vs_3s6z - _step__MIN,MAP_NAME: 3s5z_vs_3s6z - _step__MAX,MAP_NAME: 3s5z_vs_3s6z - win_rate,MAP_NAME: 3s5z_vs_3s6z - win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - win_rate__MAX,MAP_NAME: 3s_vs_5z - _step,MAP_NAME: 3s_vs_5z - _step__MIN,MAP_NAME: 3s_vs_5z - _step__MAX,MAP_NAME: 3s_vs_5z - win_rate,MAP_NAME: 3s_vs_5z - win_rate__MIN,MAP_NAME: 3s_vs_5z - win_rate__MAX,MAP_NAME: 2s3z - _step,MAP_NAME: 2s3z - _step__MIN,MAP_NAME: 2s3z - _step__MAX,MAP_NAME: 2s3z - win_rate,MAP_NAME: 2s3z - win_rate__MIN,MAP_NAME: 2s3z - win_rate__MAX
0,0,0,0,0.000539083546027541,0,0.00269541773013771,0,0,0,0.00104192104190588,0,0.00264550256542861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16384,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0.000437636766582727,0,0.00218818383291364,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0
32768,2,2,2,0.000454545440152288,0,0.00227272720076144,2,2,2,0,0,0,2,2,2,0.00214484054595232,0,0.00431034481152892,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0
49152,3,3,3,0,0,0,3,3,3,0,0,0,3,3,3,0.0013315194286406,0,0.00224719103425741,3,3,3,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0
65536,4,4,4,0,0,0,4,4,4,0,0,0,4,4,4,0.000891505368053913,0,0.00228832941502333,4,4,4,0,0,0,4,4,4,0,0,0,4,4,4,0,0,0,4,4,4,0,0,0,4,4,4,0,0,0,4,4,4,0,0,0,4,4,4,0,0,0,4,4,4,0,0,0
81920,5,5,5,0.000481927720829845,0,0.00240963860414922,5,5,5,0,0,0,5,5,5,0.0017587854526937,0,0.00447427295148373,5,5,5,0,0,0,5,5,5,0,0,0,5,5,5,0,0,0,5,5,5,0,0,0,5,5,5,0,0,0,5,5,5,0,0,0,5,5,5,0,0,0,5,5,5,0,0,0
98304,6,6,6,0.000465116277337074,0,0.00232558138668537,6,6,6,0.00138162602670491,0,0.00456620985642076,6,6,6,0.00266356035135686,0,0.00452488707378507,6,6,6,0,0,0,6,6,6,0,0,0,6,6,6,0,0,0,6,6,6,0,0,0,6,6,6,0,0,0,6,6,6,0,0,0,6,6,6,0,0,0,6,6,6,0,0,0
114688,7,7,7,0.00143658169545233,0,0.00477326987311244,7,7,7,0.00183197665028274,0,0.00700934557244182,7,7,7,0.00134153105318546,0,0.00451467279344797,7,7,7,0,0,0,7,7,7,0,0,0,7,7,7,0,0,0,7,7,7,0,0,0,7,7,7,0,0,0,7,7,7,0,0,0,7,7,7,0,0,0,7,7,7,0,0,0
131072,8,8,8,0.000960452016443014,0,0.00242130761034787,8,8,8,0.00138637335039675,0,0.0023809524718672,8,8,8,0.00404452048242092,0,0.00890868622809649,8,8,8,0,0,0,8,8,8,0,0,0,8,8,8,0,0,0,8,8,8,0,0,0,8,8,8,0,0,0,8,8,8,0,0,0,8,8,8,0,0,0,8,8,8,0,0,0
147456,9,9,9,0.000469483574852347,0,0.00234741787426174,9,9,9,0.00275426236912608,0,0.00684931501746178,9,9,9,0.0018118872307241,0,0.00444444455206394,9,9,9,0,0,0,9,9,9,0,0,0,9,9,9,0,0,0,9,9,9,0,0,0,9,9,9,0,0,0,9,9,9,0,0,0,9,9,9,0,0,0,9,9,9,0,0,0
