"Env_step","MAP_NAME: smacv2_20_units - eval_m/.win_rate","MAP_NAME: smacv2_20_units - eval_m/.win_rate__MIN","MAP_NAME: smacv2_20_units - eval_m/.win_rate__MAX","MAP_NAME: smacv2_10_units - eval_m/.win_rate","MAP_NAME: smacv2_10_units - eval_m/.win_rate__MIN","MAP_NAME: smacv2_10_units - eval_m/.win_rate__MAX","MAP_NAME: smacv2_5_units - eval_m/.win_rate","MAP_NAME: smacv2_5_units - eval_m/.win_rate__MIN","MAP_NAME: smacv2_5_units - eval_m/.win_rate__MAX","MAP_NAME: 27m_vs_30m - eval_m/.win_rate","MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MIN","MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MAX","MAP_NAME: 10m_vs_11m - eval_m/.win_rate","MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MIN","MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MAX","MAP_NAME: 6h_vs_8z - eval_m/.win_rate","MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MIN","MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MAX","MAP_NAME: 5m_vs_6m - eval_m/.win_rate","MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MIN","MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MAX","MAP_NAME: 3s5z - eval_m/.win_rate","MAP_NAME: 3s5z - eval_m/.win_rate__MIN","MAP_NAME: 3s5z - eval_m/.win_rate__MAX","MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate","MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MIN","MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MAX","MAP_NAME: 3s_vs_5z - eval_m/.win_rate","MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MIN","MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MAX","MAP_NAME: 2s3z - eval_m/.win_rate","MAP_NAME: 2s3z - eval_m/.win_rate__MIN","MAP_NAME: 2s3z - eval_m/.win_rate__MAX"
"49152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"147456","0","0","0","0.625","0","3.125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"196608","0","0","0","0","0","0","1.875","0","6.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"245760","0","0","0","0.625","0","3.125","1.875","0","9.375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"294912","2.5","0","9.375","2.5","0","6.25","6.25","3.125","9.375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"344064","2.5","0","9.375","3.75","0","12.5","3.75","0","9.375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"393216","3.125","0","6.25","3.75","0","6.25","10","6.25","15.625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"442368","0","0","0","5.625","0","15.625","5","3.125","6.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"491520","4.375","0","6.25","10","0","15.625","8.125","3.125","15.625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"540672","3.125","0","6.25","9.375","6.25","12.5","8.125","3.125","9.375","0","0","0","0.625","0","3.125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"589824","1.25","0","3.125","9.375","0","15.625","3.75","0","9.375","0","0","0","2.5","0","6.25","0","0","0","0.625","0","3.125","0","0","0","0","0","0","0","0","0","0","0","0"
"638976","2.5","0","6.25","6.25","0","12.5","6.25","0","12.5","0","0","0","2.5","0","6.25","0","0","0","0.625","0","3.125","0","0","0","0","0","0","0","0","0","1.25","0","3.125"
"688128","3.125","0","9.375","8.125","6.25","9.375","9.375","3.125","15.625","0","0","0","2.5","0","6.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.25","0","3.125"
"737280","3.75","0","6.25","8.75","0","15.625","11.25","3.125","21.875","1.0416666666666667","0","3.125","3.75","3.125","6.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.625","0","3.125"
"786432","2.5","0","6.25","7.5","0","18.75","8.125","0","18.75","0","0","0","1.25","0","3.125","0","0","0","0.625","0","3.125","0","0","0","0","0","0","0","0","0","3.75","0","6.25"
"835584","2.5","0","6.25","5.625","3.125","6.25","8.125","3.125","12.5","0","0","0","4.375","0","6.25","1.25","0","6.25","0.625","0","3.125","0","0","0","0","0","0","0","0","0","2.5","0","6.25"
