Env_step,MAP_NAME: smacv2_20_units - eval_m/.win_rate,MAP_NAME: smacv2_20_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_20_units - eval_m/.win_rate__MAX,MAP_NAME: smacv2_10_units - eval_m/.win_rate,MAP_NAME: smacv2_10_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_10_units - eval_m/.win_rate__MAX,MAP_NAME: smacv2_5_units - eval_m/.win_rate,MAP_NAME: smacv2_5_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_5_units - eval_m/.win_rate__MAX,MAP_NAME: 27m_vs_30m - eval_m/.win_rate,MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MIN,MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MAX,MAP_NAME: 10m_vs_11m - eval_m/.win_rate,MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MIN,MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MAX,MAP_NAME: 6h_vs_8z - eval_m/.win_rate,MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MIN,MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MAX,MAP_NAME: 5m_vs_6m - eval_m/.win_rate,MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MIN,MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MAX,MAP_NAME: 3s5z - eval_m/.win_rate,MAP_NAME: 3s5z - eval_m/.win_rate__MIN,MAP_NAME: 3s5z - eval_m/.win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MAX,MAP_NAME: 3s_vs_5z - eval_m/.win_rate,MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MIN,MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MAX,MAP_NAME: 2s3z - eval_m/.win_rate,MAP_NAME: 2s3z - eval_m/.win_rate__MIN,MAP_NAME: 2s3z - eval_m/.win_rate__MAX
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196608,0,0,0,2.5,0,6.25,1.875,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245760,0,0,0,1.875,0,3.125,3.125,0,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294912,1.875,0,3.125,3.125,0,6.25,5,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344064,1.875,0,9.375,3.125,0,6.25,5,0,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393216,4.375,0,9.375,5,0,9.375,11.25,6.25,15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442368,0.625,0,3.125,3.125,0,9.375,4.375,0,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491520,5,0,12.5,11.875,3.125,18.75,10,3.125,15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540672,3.75,0,9.375,8.125,3.125,12.5,8.75,6.25,12.5,0,0,0,0.625,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589824,3.75,0,6.25,6.875,0,15.625,5.625,3.125,12.5,0,0,0,0,0,0,0.625,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,3.125
638976,3.125,0,6.25,5,0,12.5,5.625,3.125,12.5,0,0,0,0.625,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688128,2.5,0,6.25,6.25,3.125,9.375,10,3.125,15.625,0.78125,0,3.125,3.75,0,9.375,0.625,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737280,0.625,0,3.125,10,3.125,18.75,6.875,3.125,15.625,1.5625,0,3.125,5.625,0,9.375,0,0,0,1.25,0,3.125,0,0,0,0,0,0,0,0,0,0.625,0,3.125
786432,3.75,0,9.375,10,3.125,18.75,8.75,0,15.625,2.34375,0,3.125,3.75,0,6.25,0.625,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,6.25
835584,4.375,3.125,6.25,7.5,3.125,12.5,8.125,3.125,12.5,2.34375,0,9.375,3.75,0,6.25,0.625,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9.375
884736,3.75,0,6.25,12.5,6.25,15.625,10.625,6.25,15.625,6.25,0,18.75,6.25,0,12.5,2.5,0,6.25,0,0,0,0.625,0,3.125,0,0,0,0,0,0,4.375,0,12.5
933888,5,0,21.875,7.5,0,18.75,8.75,3.125,18.75,8.59375,3.125,15.625,2.5,0,9.375,1.25,0,3.125,0.625,0,3.125,0,0,0,0,0,0,0,0,0,3.75,3.125,6.25
983040,4.375,3.125,6.25,6.875,3.125,12.5,7.5,3.125,12.5,12.5,9.375,15.625,6.875,0,9.375,1.25,0,3.125,0,0,0,0.625,0,3.125,0,0,0,0,0,0,5,0,12.5
1032192,5,3.125,12.5,10,3.125,15.625,8.125,3.125,15.625,18.75,9.375,34.375,4.375,0,12.5,1.25,0,6.25,0,0,0,1.875,0,6.25,0,0,0,0,0,0,8.125,3.125,12.5
